accuracy,loss,val_accuracy,val_loss,learning_rate
0.8187916874885559,0.5085641145706177,0.8662499785423279,0.35535845160484314,0.0010000000474974513
0.8751875162124634,0.343474805355072,0.8722500205039978,0.3641103506088257,0.0010000000474974513
0.890375018119812,0.302973210811615,0.8794166445732117,0.3229711651802063,0.0010000000474974513
0.8990208506584167,0.27666449546813965,0.871999979019165,0.33632656931877136,0.0010000000474974513
0.9052083492279053,0.25951269268989563,0.9006666541099548,0.275418221950531,0.0010000000474974513
0.9112291932106018,0.24141310155391693,0.9024166464805603,0.2637558877468109,0.0010000000474974513
0.9161875247955322,0.2308526337146759,0.9106666445732117,0.24621182680130005,0.0010000000474974513
0.9196041822433472,0.22174285352230072,0.9157500267028809,0.23351053893566132,0.0010000000474974513
0.9207291603088379,0.2125023454427719,0.9175000190734863,0.22321726381778717,0.0010000000474974513
0.9248124957084656,0.20406074821949005,0.9242500066757202,0.20800887048244476,0.0010000000474974513
0.9283124804496765,0.19425050914287567,0.9130833148956299,0.252463698387146,0.0010000000474974513
0.9306041598320007,0.18617236614227295,0.9178333282470703,0.22439363598823547,0.0010000000474974513
0.9388958215713501,0.16345399618148804,0.9150000214576721,0.24345239996910095,0.0005000000237487257
0.9437291622161865,0.15286962687969208,0.9307500123977661,0.19782118499279022,0.0005000000237487257
0.9453750252723694,0.14836052060127258,0.9168333411216736,0.23470517992973328,0.0005000000237487257
0.9463124871253967,0.1440882831811905,0.9279166460037231,0.21040193736553192,0.0005000000237487257
0.9523333311080933,0.129271000623703,0.9348333477973938,0.1906740665435791,0.0002500000118743628
0.953208327293396,0.12251725047826767,0.9347500205039978,0.19425058364868164,0.0002500000118743628
0.9559999704360962,0.11954093724489212,0.9346666932106018,0.19502772390842438,0.0002500000118743628
0.9583749771118164,0.11308173835277557,0.9354166388511658,0.19316312670707703,0.0001250000059371814
0.9583541750907898,0.11087551712989807,0.9349166750907898,0.1963898241519928,0.0001250000059371814
0.9607499837875366,0.1065303310751915,0.9359166622161865,0.19797003269195557,6.25000029685907e-05
