accuracy,loss,val_accuracy,val_loss,learning_rate
0.7351481318473816,0.7446556091308594,0.7456666827201843,0.6839038133621216,0.0010000000474974513
0.7918703556060791,0.5698063373565674,0.7488333582878113,0.669643223285675,0.0010000000474974513
0.8030185103416443,0.538065493106842,0.7858333587646484,0.569317638874054,0.0010000000474974513
0.8099814653396606,0.5175073146820068,0.7799999713897705,0.5931175351142883,0.0010000000474974513
0.814129650592804,0.5047414302825928,0.7798333168029785,0.5937071442604065,0.0010000000474974513
0.821648120880127,0.4840213656425476,0.7791666388511658,0.5766115188598633,0.0005000000237487257
0.8257963061332703,0.474887877702713,0.7979999780654907,0.5425610542297363,0.0005000000237487257
0.8267037272453308,0.4698032736778259,0.8026666641235352,0.5335116386413574,0.0005000000237487257
0.8295555710792542,0.4645557999610901,0.7958333492279053,0.5434709787368774,0.0005000000237487257
0.8311481475830078,0.45974236726760864,0.8003333210945129,0.5416377186775208,0.0005000000237487257
0.8343518376350403,0.44671767950057983,0.7979999780654907,0.5419588088989258,0.0002500000118743628
0.8360555768013,0.4454834759235382,0.7951666712760925,0.5466641187667847,0.0002500000118743628
0.8379074335098267,0.4399857819080353,0.8003333210945129,0.5389375686645508,0.0001250000059371814
